ticket_subject,ticket_description,category,subcategory,device_type,tags
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,logistics,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,support,critical"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,legal,high"
Monitor not displaying image,Monitor remains black even though the computer is on and cable is connected.,hardware,monitor,monitor,"hardware,monitor,procurement,low"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,production,medium"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,r&d,high"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,procurement,medium"
Printer calibration needed,Print outputs are misaligned and colors are off. The printer needs calibration.,hardware,printer,printer,"hardware,printer,it,medium"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,sales,medium"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,operations,medium"
Scanner producing blurry images,Scanned documents are coming out blurry regardless of quality settings.,software,scanner,desktop,"software,scanner,it,high"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,logistics,medium"
Laptop fan making loud noise,The cooling fan on my laptop is very loud and seems to be running at full speed constantly.,hardware,laptop,laptop,"hardware,laptop,hr,high"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,finance,medium"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,sales,high"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,it,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,sales,medium"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,operations,high"
LAN cable damaged and needs replacement,The LAN cable running to my workstation is damaged and needs replacing.,network,LAN,server,"network,LAN,procurement,low"
Laptop fan making loud noise,The cooling fan on my laptop is very loud and seems to be running at full speed constantly.,hardware,laptop,laptop,"hardware,laptop,finance,high"
Laptop touchpad not working,The touchpad on my laptop is unresponsive. I am currently using a USB mouse as a workaround.,hardware,laptop,laptop,"hardware,laptop,finance,high"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,it,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,unicode,desktop,"other,unicode,legal,critical"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,r&d,medium"
WiFi password changed and users locked out,WiFi credentials were changed and users have not received the new password.,network,WiFi,tablet,"network,WiFi,marketing,medium"
Desktop running extremely slow,Applications are taking over 5 minutes to load on this desktop PC.,hardware,desktop,desktop,"hardware,desktop,production,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,logistics,medium"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,marketing,medium"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,logistics,critical"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,it,medium"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,operations,high"
Laptop fan making loud noise,The cooling fan on my laptop is very loud and seems to be running at full speed constantly.,hardware,laptop,laptop,"hardware,laptop,legal,medium"
Firewall blocking legitimate traffic,The firewall is blocking access to a required external API endpoint.,network,firewall,server,"network,firewall,support,high"
Account locked after failed attempts,Account has been locked after multiple failed login attempts. Please unlock.,access,password,desktop,"access,password,marketing,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,finance,high"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,logistics,medium"
LAN cable damaged and needs replacement,The LAN cable running to my workstation is damaged and needs replacing.,network,LAN,server,"network,LAN,r&d,critical"
Desktop audio not working,No sound output from desktop. Speakers and headphones both affected.,hardware,desktop,desktop,"hardware,desktop,it,low"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,r&d,critical"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,executive,high"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,operations,high"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,support,high"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,sales,medium"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,finance,critical"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,executive,medium"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,executive,medium"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,executive,medium"
Laptop touchpad not working,The touchpad on my laptop is unresponsive. I am currently using a USB mouse as a workaround.,hardware,laptop,laptop,"hardware,laptop,finance,medium"
Data loss prevention alert triggered,DLP policy triggered for a file transfer. Please review the alert details.,software,security,mobile,"software,security,hr,medium"
Email marked as spam by recipients,Outgoing company emails are being flagged as spam by recipient servers.,software,email,desktop,"software,email,marketing,high"
Laptop fan making loud noise,The cooling fan on my laptop is very loud and seems to be running at full speed constantly.,hardware,laptop,laptop,"hardware,laptop,marketing,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,marketing,low"
Server RAID failure alert,RAID controller alert triggered. Possible drive failure on production server.,hardware,server,server,"hardware,server,support,high"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,executive,high"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,marketing,medium"
WiFi authentication error,Devices get an authentication error when trying to connect to corporate WiFi.,network,WiFi,tablet,"network,WiFi,production,high"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,r&d,critical"
Application crashes on login,The business application crashes immediately upon entering credentials.,access,application,desktop,"access,application,support,critical"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,executive,medium"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,legal,medium"
Printer calibration needed,Print outputs are misaligned and colors are off. The printer needs calibration.,hardware,printer,printer,"hardware,printer,marketing,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,test,desktop,"other,test,logistics,medium"
Phishing email reported by user,A user received a suspicious phishing email. Please investigate and advise.,software,security,mobile,"software,security,support,medium"
Password expiry causing lockout,Password expired and self-service reset is not sending the recovery email.,access,password,desktop,"access,password,production,medium"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,executive,medium"
Antivirus flagging false positive,Antivirus is blocking a known-good application used for financial reporting.,software,antivirus,desktop,"software,antivirus,finance,high"
Desktop running extremely slow,Applications are taking over 5 minutes to load on this desktop PC.,hardware,desktop,desktop,"hardware,desktop,executive,critical"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,hr,medium"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,support,critical"
Desktop running extremely slow,Applications are taking over 5 minutes to load on this desktop PC.,hardware,desktop,desktop,"hardware,desktop,procurement,medium"
Shared mailbox access request,Team member needs access to the shared department mailbox.,software,email,desktop,"software,email,executive,high"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,it,high"
WiFi dead zone in conference room,There is no WiFi signal in the second-floor conference room. Extender needed.,network,WiFi,tablet,"network,WiFi,hr,high"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,hr,medium"
Server reboot required after update,Server requires a scheduled reboot following last night's system update.,hardware,server,server,"hardware,server,marketing,medium"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,support,low"
Tablet battery not holding charge,Tablet drains within 2 hours even on low usage. Needs battery replacement.,hardware,tablet,tablet,"hardware,tablet,logistics,medium"
Desktop audio not working,No sound output from desktop. Speakers and headphones both affected.,hardware,desktop,desktop,"hardware,desktop,logistics,low"
Desktop freezing randomly,The desktop computer freezes and requires a hard reboot several times a day.,hardware,desktop,desktop,"hardware,desktop,marketing,high"
Email marked as spam by recipients,Outgoing company emails are being flagged as spam by recipient servers.,software,email,desktop,"software,email,production,high"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,legal,high"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,procurement,medium"
Application update failed,Last night's application update failed midway. App is now in an inconsistent state.,access,application,desktop,"access,application,marketing,low"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,procurement,medium"
Desktop USB ports not working,USB ports on the desktop are not detecting any connected devices.,hardware,desktop,desktop,"hardware,desktop,marketing,high"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,marketing,medium"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,marketing,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,logistics,critical"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,production,medium"
Application crashes on login,The business application crashes immediately upon entering credentials.,access,application,desktop,"access,application,finance,medium"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,finance,medium"
Laptop screen goes black randomly,The laptop display randomly goes black and requires a restart to recover.,hardware,laptop,laptop,"hardware,laptop,finance,critical"
Printer offline status,The printer shows as offline despite being powered on and connected to the network.,hardware,printer,printer,"hardware,printer,executive,medium"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,finance,critical"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,legal,medium"
Email marked as spam by recipients,Outgoing company emails are being flagged as spam by recipient servers.,software,email,desktop,"software,email,executive,medium"
Monitor not displaying image,Monitor remains black even though the computer is on and cable is connected.,hardware,monitor,monitor,"hardware,monitor,logistics,medium"
Tablet screen cracked,The tablet screen is cracked and touch is unresponsive in affected area.,hardware,tablet,tablet,"hardware,tablet,legal,medium"
Dual monitor setup not working,Second monitor is not detected when connected to docking station.,hardware,monitor,monitor,"hardware,monitor,logistics,high"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,hr,medium"
Laptop keyboard not responding,Several keys on my laptop keyboard have stopped working. Cannot type properly.,hardware,laptop,laptop,"hardware,laptop,legal,high"
WiFi guest network not working,The guest WiFi network is unreachable. Visitors are unable to connect.,network,WiFi,tablet,"network,WiFi,logistics,critical"
Email attachments not opening,Email attachments are downloading but cannot be opened by any application.,software,email,desktop,"software,email,sales,high"
Printer toner low alert,Printer is displaying a low toner warning. Please arrange a replacement cartridge.,hardware,printer,printer,"hardware,printer,finance,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,support,medium"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,r&d,medium"
Application throwing 500 error,Users receive a 500 internal server error when accessing certain app features.,access,application,desktop,"access,application,it,medium"
Email signature not displaying correctly,The corporate email signature is not rendering correctly in some email clients.,software,email,desktop,"software,email,r&d,medium"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,marketing,critical"
Desktop not powering on,The desktop PC will not turn on despite power being connected correctly.,hardware,desktop,desktop,"hardware,desktop,legal,high"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,finance,high"
Account locked after failed attempts,Account has been locked after multiple failed login attempts. Please unlock.,access,password,desktop,"access,password,marketing,critical"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,hr,medium"
Server reboot required after update,Server requires a scheduled reboot following last night's system update.,hardware,server,server,"hardware,server,legal,medium"
Monitor not displaying image,Monitor remains black even though the computer is on and cable is connected.,hardware,monitor,monitor,"hardware,monitor,finance,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,executive,critical"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,executive,medium"
Security software blocking legitimate app,Security software is incorrectly blocking a required business application.,software,security,mobile,"software,security,r&d,critical"
Firewall rule change request,Please add a firewall rule to allow traffic from a new partner IP range.,network,firewall,server,"network,firewall,it,high"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,r&d,high"
Server reboot required after update,Server requires a scheduled reboot following last night's system update.,hardware,server,server,"hardware,server,it,high"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,hr,critical"
Data loss prevention alert triggered,DLP policy triggered for a file transfer. Please review the alert details.,software,security,mobile,"software,security,executive,low"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,r&d,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,legal,high"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,it,high"
Email signature not displaying correctly,The corporate email signature is not rendering correctly in some email clients.,software,email,desktop,"software,email,production,critical"
Printer offline status,The printer shows as offline despite being powered on and connected to the network.,hardware,printer,printer,"hardware,printer,sales,low"
Server RAID failure alert,RAID controller alert triggered. Possible drive failure on production server.,hardware,server,server,"hardware,server,finance,medium"
Password expiry causing lockout,Password expired and self-service reset is not sending the recovery email.,access,password,desktop,"access,password,it,medium"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,legal,low"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,hr,high"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,finance,high"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,finance,medium"
Unauthorized device detected on network,Network monitoring flagged an unrecognized device on the internal network.,software,security,mobile,"software,security,r&d,medium"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,marketing,critical"
Tablet battery not holding charge,Tablet drains within 2 hours even on low usage. Needs battery replacement.,hardware,tablet,tablet,"hardware,tablet,sales,critical"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,support,high"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,it,high"
Laptop overheating and shutting down,"My laptop shuts down unexpectedly due to overheating, especially during video calls.",hardware,laptop,laptop,"hardware,laptop,procurement,high"
Server RAID failure alert,RAID controller alert triggered. Possible drive failure on production server.,hardware,server,server,"hardware,server,hr,critical"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,r&d,high"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,support,high"
Server performance degraded,Application response times are slow. Suspected server resource contention.,hardware,server,server,"hardware,server,executive,medium"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,sales,medium"
LAN cable damaged and needs replacement,The LAN cable running to my workstation is damaged and needs replacing.,network,LAN,server,"network,LAN,finance,medium"
Firewall logs showing suspicious activity,Firewall logs show repeated connection attempts from unknown IPs.,network,firewall,server,"network,firewall,support,high"
Printer calibration needed,Print outputs are misaligned and colors are off. The printer needs calibration.,hardware,printer,printer,"hardware,printer,support,low"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,hr,critical"
Laptop won't boot up,My laptop is stuck on the boot screen and won't load the OS.,hardware,laptop,laptop,"hardware,laptop,legal,medium"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,procurement,medium"
Desktop USB ports not working,USB ports on the desktop are not detecting any connected devices.,hardware,desktop,desktop,"hardware,desktop,sales,medium"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,operations,medium"
Email signature not displaying correctly,The corporate email signature is not rendering correctly in some email clients.,software,email,desktop,"software,email,production,high"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,hr,high"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,operations,medium"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,hr,low"
Application throwing 500 error,Users receive a 500 internal server error when accessing certain app features.,access,application,desktop,"access,application,finance,high"
ERP module missing from dashboard,A required ERP module has disappeared from the user dashboard after an update.,software,ERP,desktop,"software,ERP,procurement,medium"
Scanner producing blurry images,Scanned documents are coming out blurry regardless of quality settings.,software,scanner,desktop,"software,scanner,sales,medium"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,procurement,medium"
Monitor has dead pixels,Several dead pixels are visible on the monitor screen. Replacement needed.,hardware,monitor,monitor,"hardware,monitor,legal,medium"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,hr,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,finance,critical"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,it,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,executive,critical"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,sales,high"
Desktop not powering on,The desktop PC will not turn on despite power being connected correctly.,hardware,desktop,desktop,"hardware,desktop,finance,medium"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,sales,medium"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,support,critical"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,r&d,high"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,it,medium"
Account locked after failed attempts,Account has been locked after multiple failed login attempts. Please unlock.,access,password,desktop,"access,password,finance,critical"
Scanner producing blurry images,Scanned documents are coming out blurry regardless of quality settings.,software,scanner,desktop,"software,scanner,support,low"
Printer network connection lost,The office printer has lost its network connection and cannot receive print jobs.,hardware,printer,printer,"hardware,printer,marketing,high"
ERP custom report failing,A custom ERP report is failing to generate with a generic error.,software,ERP,desktop,"software,ERP,marketing,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,executive,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,r&d,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,unicode,desktop,"other,unicode,production,medium"
LAN speed degraded in building wing,Network throughput is significantly reduced in the east wing of the building.,network,LAN,server,"network,LAN,sales,medium"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,executive,low"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,finance,medium"
ERP login page not loading,The ERP system login page fails to load for users on the office network.,software,ERP,desktop,"software,ERP,it,critical"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,production,medium"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,finance,high"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,production,medium"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,legal,high"
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,support,medium"
Laptop won't boot up,My laptop is stuck on the boot screen and won't load the OS.,hardware,laptop,laptop,"hardware,laptop,support,low"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,test,desktop,"other,test,sales,critical"
VPN drops connection frequently,"VPN disconnects every 10-15 minutes, interrupting remote work.",access,VPN,laptop,"access,VPN,sales,medium"
Tablet battery not holding charge,Tablet drains within 2 hours even on low usage. Needs battery replacement.,hardware,tablet,tablet,"hardware,tablet,sales,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,procurement,high"
Security software blocking legitimate app,Security software is incorrectly blocking a required business application.,software,security,mobile,"software,security,marketing,high"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,it,medium"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,executive,medium"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,marketing,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,operations,high"
Monitor not displaying image,Monitor remains black even though the computer is on and cable is connected.,hardware,monitor,monitor,"hardware,monitor,sales,critical"
Scanner producing blurry images,Scanned documents are coming out blurry regardless of quality settings.,software,scanner,desktop,"software,scanner,executive,medium"
Monitor resolution incorrect,Monitor is stuck at a lower resolution and cannot be changed in display settings.,hardware,monitor,monitor,"hardware,monitor,legal,medium"
Scanner producing blurry images,Scanned documents are coming out blurry regardless of quality settings.,software,scanner,desktop,"software,scanner,finance,medium"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,hr,medium"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,marketing,low"
Tablet battery not holding charge,Tablet drains within 2 hours even on low usage. Needs battery replacement.,hardware,tablet,tablet,"hardware,tablet,support,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,general,desktop,"other,general,procurement,medium"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,executive,critical"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,finance,critical"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,sales,critical"
Dual monitor setup not working,Second monitor is not detected when connected to docking station.,hardware,monitor,monitor,"hardware,monitor,logistics,high"
LAN speed degraded in building wing,Network throughput is significantly reduced in the east wing of the building.,network,LAN,server,"network,LAN,hr,medium"
Laptop overheating and shutting down,"My laptop shuts down unexpectedly due to overheating, especially during video calls.",hardware,laptop,laptop,"hardware,laptop,production,high"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,finance,medium"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,legal,high"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,sales,low"
WiFi authentication error,Devices get an authentication error when trying to connect to corporate WiFi.,network,WiFi,tablet,"network,WiFi,executive,medium"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,operations,high"
Monitor resolution incorrect,Monitor is stuck at a lower resolution and cannot be changed in display settings.,hardware,monitor,monitor,"hardware,monitor,finance,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,unicode,desktop,"other,unicode,procurement,low"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,logistics,high"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,hr,low"
Desktop freezing randomly,The desktop computer freezes and requires a hard reboot several times a day.,hardware,desktop,desktop,"hardware,desktop,hr,low"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,r&d,medium"
Password expiry causing lockout,Password expired and self-service reset is not sending the recovery email.,access,password,desktop,"access,password,it,critical"
Tablet screen cracked,The tablet screen is cracked and touch is unresponsive in affected area.,hardware,tablet,tablet,"hardware,tablet,operations,high"
Password expiry causing lockout,Password expired and self-service reset is not sending the recovery email.,access,password,desktop,"access,password,it,high"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,hr,medium"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,it,low"
Unauthorized device detected on network,Network monitoring flagged an unrecognized device on the internal network.,software,security,mobile,"software,security,legal,high"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,support,medium"
Server disk space critically low,One of the production servers is almost out of disk space. Immediate action required.,hardware,server,server,"hardware,server,finance,medium"
WiFi interference causing slow speeds,WiFi speeds in the open workspace are very slow due to suspected interference.,network,WiFi,tablet,"network,WiFi,finance,critical"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,procurement,low"
Account permissions need updating,User's role changed and their account permissions need to be updated accordingly.,access,account,desktop,"access,account,hr,medium"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,legal,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,legal,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,test,desktop,"other,test,executive,critical"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,r&d,high"
Application crashes on login,The business application crashes immediately upon entering credentials.,access,application,desktop,"access,application,it,medium"
WiFi guest network not working,The guest WiFi network is unreachable. Visitors are unable to connect.,network,WiFi,tablet,"network,WiFi,executive,critical"
Laptop keyboard not responding,Several keys on my laptop keyboard have stopped working. Cannot type properly.,hardware,laptop,laptop,"hardware,laptop,it,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,sales,critical"
